Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
17961,7.704829608804447,0.0,7.158695440977255E9,119274.97290914266
17962,7.801698178106195,0.0,8.94751763452513E9,149079.64850944743
17963,7.8808437709635495,0.0,1.0736141918213055E10,178881.0924110233
17964,7.94775598409011,0.0,1.2524503863590721E10,208677.4866294933
17965,8.005710984030067,0.0,1.4312503151384695E10,238468.0464558163
17966,8.056823134911534,0.0,1.610007143248423E10,268250.73791511945
17967,8.102537272732796,0.0,1.7887184699537746E10,298026.32900563726
17968,8.057064232399687,0.0,1.6109011837915575E10,178881.0924110233
17969,8.123976950225256,0.0,1.8792375976838455E10,208677.4866294933
17970,8.181932223747893,0.0,2.1475190774385876E10,238468.0464558163
17971,8.233045127761452,0.0,2.415738892241488E10,268250.73791511945
17972,8.278760208013395,0.0,2.683892534347855E10,298026.32900563726
17973,8.320108375803311,0.0,2.9519794914242744E10,327795.8603396985
17974,8.357853156369064,0.0,3.2200169543602425E10,357562.10379517084
17975,8.392569575835221,0.0,3.487985062569118E10,387321.28262392775
17976,8.424704812684235,0.0,3.755864266642038E10,417069.0789106541
17977,8.454613344972332,0.0,4.023633861511145E10,446801.57317331096
17978,8.306991856584743,0.0,2.864156880265359E10,238468.0464558163
17979,8.358105439962864,0.0,3.221888021992592E10,268250.73791511945
17980,8.403820972515687,0.0,3.579530156277378E10,298026.32900563726
17981,8.44516889690715,0.0,3.937077790175881E10,327795.8603396985
17982,8.482912274847127,0.0,4.294547549503145E10,357562.10379517084
17983,8.517627233362887,0.0,4.65192187669711E10,387321.28262392775
17984,8.549762022325465,0.0,5.009186913264956E10,417069.0789106541
17985,8.579671449620857,0.0,5.366321620902004E10,446801.57317331096
17986,8.607644342657906,0.0,5.723340995497359E10,476522.34183657734
17987,8.633918429858868,0.0,6.080282226000011E10,506237.4726133246
17988,8.658687390861427,0.0,6.4371366218733246E10,535945.991356241
17989,8.682111844948578,0.0,6.793869598661309E10,565643.346734569
17990,8.704332116253207,0.0,7.150517975389787E10,595332.8233508093
17991,8.500841717918055,0.0,4.4755547946458626E10,298026.32900563726
17992,8.542189455327104,0.0,4.9226012982122284E10,327795.8603396985
17993,8.579932094874756,0.0,5.3695432313044426E10,357562.10379517084
17994,8.614646101093866,0.0,5.816361459678906E10,387321.28262392775
17995,8.64678076666605,0.0,6.263053035083704E10,417069.0789106541
17996,8.676691088843729,0.0,6.7095971364325935E10,446801.57317331096
17997,8.704665581319894,0.0,7.156010484188495E10,476522.34183657734
17998,8.730941246506518,0.0,7.602329038942096E10,506237.4726133246
17999,8.755711707712035,0.0,8.04854082354913E10,535945.991356241
18000,8.77913760360136,0.0,8.494602734148915E10,565643.346734569
18001,8.801359206259512,0.0,8.940559554023033E10,595332.8233508093
18002,8.822495384534415,0.0,9.386439864657028E10,625018.7319577434
18003,8.84264804942552,0.0,9.8322653217978E10,654702.5882418898
18004,8.86190409489857,0.0,1.0278024680816524E11,684382.7221320512
18005,8.880339540202801,0.0,1.0723711508560597E11,714057.4418805552
18006,8.898021047702509,0.0,1.1169317826715462E11,743725.9244360657
18007,8.915007579163923,0.0,1.1614839140387556E11,773387.1858434675
18008,8.931352165900805,0.0,1.2060291482386305E11,803043.5329897709
18009,8.947101445028133,0.0,1.250567393277954E11,832695.7476658034
18010,8.962297037628773,0.0,1.2950982315775682E11,862342.9424579461
18011,8.97697590120964,0.0,1.3396198996443106E11,891983.106405736
18012,8.991171783719839,0.0,1.384131933690518E11,921615.957673753
18013,9.004915212143073,0.0,1.4286338371530106E11,951241.2988485425
18014,9.018235756166714,0.0,1.4731314146142676E11,980864.993231024
18015,9.031153266827543,0.0,1.5176059337926126E11,1010469.2498514194
18016,9.043683231022797,0.0,1.5620286457556372E11,1040023.6269223533
18017,9.055858538550106,0.0,1.6064392811516302E11,1069572.609639232
18018,9.0677066656017,0.0,1.650868402693275E11,1099141.507941414
18019,9.07924568665602,0.0,1.6953192335474338E11,1128729.2972523398
18020,9.090487739501505,0.0,1.7397768771745532E11,1158323.6710056441
18021,9.094898670808158,0.0,1.757537056813112E11,1187912.8041010252
18022,8.979858709431976,0.0,1.3485417660507964E11,891983.106405736
18023,8.99673423482581,0.0,1.4019739553719604E11,921615.957673753
18024,9.0129748768582,0.0,1.455394085966244E11,951241.2988485425
18025,9.028628470759521,0.0,1.5088088302455704E11,980864.993231024
18026,9.043730397448323,0.0,1.5621982988217227E11,1010469.2498514194
18027,9.058310024812204,0.0,1.6155328900220337E11,1040023.6269223533
18028,9.070087520392013,0.0,1.6599435254180267E11,1069572.609639232
18029,9.081558750637742,0.0,1.7043726469596716E11,1099141.507941414
18030,9.092740157540284,0.0,1.7488234778138303E11,1128729.2972523398
18031,9.10364254695248,0.0,1.7932811214409497E11,1158323.6710056441
18032,9.107922520260914,0.0,1.8110413010795084E11,1187912.8041010252
